transaction_id,book_id,borrower_id,borrow_date,return_date
112,984,552,2023-05-30,2024-09-04
113,702,37,2024-10-16,2025-01-07
114,815,312,2023-10-20,2025-01-25
115,775,763,2024-06-24,2024-08-17
116,51,787,2024-03-30,2024-11-10
117,87,886,2023-06-11,2023-10-24
118,502,242,2024-09-16,2024-10-28
119,181,84,2023-06-30,2023-08-24
120,807,786,2023-09-26,2024-07-23
121,635,309,2024-06-06,2025-01-31
122,294,440,2024-08-19,2024-12-09
123,128,205,2023-12-06,2024-06-24
124,518,98,2024-01-30,2024-12-12
125,5,341,2023-07-19,2023-11-14
126,736,535,2023-05-09,2024-05-24
127,303,831,2024-05-11,2024-07-01
128,43,660,2023-06-23,2025-02-19
129,849,996,2024-02-23,2024-10-11
130,510,218,2023-12-14,2024-05-06
131,306,764,2023-09-18,2024-02-14
132,133,183,2023-11-26,2024-08-07
133,999,522,2024-06-30,2024-07-01
134,181,14,2023-05-18,2023-09-05
135,141,223,2024-12-12,2025-01-19
136,578,680,2023-10-27,2023-12-25
137,19,77,2025-01-05,2025-01-12
138,715,895,2023-05-19,2024-08-03
139,818,503,2024-09-20,2024-12-14
140,859,728,2024-03-01,2024-10-10
141,82,883,2024-07-22,2024-11-01
142,267,516,2024-09-22,2024-10-10
143,156,462,2023-03-22,2023-03-24
144,775,767,2023-06-14,2025-01-27
145,710,22,2024-07-06,2024-12-12
146,81,100,2025-01-12,2025-01-26
147,657,899,2024-12-17,2025-01-17
148,965,625,2023-04-17,2023-06-04
149,662,866,2024-08-02,2024-09-06
150,196,257,2023-09-26,2024-02-21
151,127,736,2025-01-18,2025-01-19
152,848,557,2023-06-23,2023-09-10
153,449,106,2025-01-09,2025-01-18
154,807,701,2023-09-03,2024-07-06
155,323,76,2024-10-12,2025-02-21
156,907,170,2023-12-17,2024-11-10
157,504,563,2024-11-16,2025-01-28
158,798,134,2024-02-11,2024-07-02
159,146,903,2023-10-22,2024-01-13
160,769,514,2024-08-05,2024-11-06
161,623,338,2023-07-16,2024-03-03
162,854,423,2024-10-02,2024-12-11
163,361,364,2024-11-25,2025-01-02
164,56,188,2024-04-13,2024-09-22
165,421,226,2023-06-11,2024-02-15
166,83,884,2024-12-12,2024-12-28
167,567,210,2024-03-12,2024-08-21
168,58,139,2024-07-04,2024-10-14
169,92,998,2023-07-18,2024-07-24
170,768,847,2023-09-17,2023-11-14
171,727,441,2024-01-04,2024-11-18
172,119,452,2024-11-18,2025-01-11
173,363,326,2024-01-19,2024-05-21
174,198,641,2024-02-14,2024-10-26
175,619,614,2024-02-12,2024-09-15
176,691,833,2023-07-09,2023-12-13
177,40,184,2023-04-04,2023-05-08
178,43,84,2023-09-01,2024-03-05
179,685,935,2024-04-04,2024-09-11
180,235,354,2023-09-30,2024-03-27
181,464,59,2024-08-29,2025-01-04
182,954,718,2024-09-14,2024-11-07
183,353,981,2023-10-11,2023-11-29
184,835,666,2024-09-14,2025-01-13
185,776,980,2024-06-21,2024-10-02
186,941,857,2024-10-07,2025-02-15
187,958,773,2023-05-02,2024-10-01
188,737,560,2023-04-12,2023-09-24
189,429,913,2024-06-07,2024-11-02
190,695,135,2024-02-09,2025-01-17
191,736,373,2024-02-22,2024-05-10
192,696,308,2024-04-03,2024-07-25
193,817,94,2024-08-29,2024-12-16
194,870,119,2023-07-23,2024-06-10
195,432,811,2023-06-01,2023-12-14
196,526,164,2023-05-06,2023-06-23
197,535,46,2023-03-07,2024-07-07
198,752,411,2024-10-27,2024-11-23
199,962,792,2023-10-26,2024-11-10
200,851,715,2023-03-26,2024-08-06
201,492,326,2024-12-03,2025-02-22
202,815,153,2023-07-14,2024-07-19
203,345,667,2025-02-15,2025-02-16
204,175,825,2024-09-11,2024-10-25
205,800,560,2024-10-18,2025-02-02
206,515,808,2023-09-03,2023-11-15
207,388,658,2024-04-12,2025-02-20
208,730,165,2023-09-12,2024-06-05
209,3,925,2023-09-10,2024-10-20
210,172,268,2024-01-27,2024-07-28
211,951,394,2023-06-18,2024-07-29
212,182,257,2024-02-17,2024-12-04
213,465,32,2024-12-01,2024-12-08
214,58,176,2024-06-25,2024-11-01
215,96,5,2024-12-07,2025-01-13
216,570,387,2024-09-30,2024-10-18
217,601,317,2025-01-17,2025-01-30
218,95,881,2024-03-06,2025-01-26
219,871,734,2024-07-22,2024-11-12
220,172,369,2023-10-29,2023-12-13
221,107,773,2025-01-27,2025-02-22
222,54,494,2024-11-05,2024-11-30
223,972,277,2023-06-11,2023-08-25
224,966,728,2024-10-14,2024-11-22
225,226,263,2023-08-09,2024-11-11
226,602,694,2023-03-23,2024-09-14
227,997,760,2024-02-16,2024-06-23
228,665,977,2024-05-16,2024-06-25
229,696,77,2024-09-19,2024-10-15
230,557,210,2024-10-06,2024-11-17
231,926,378,2024-12-09,2025-01-13
232,111,588,2024-03-18,2024-03-31
233,658,719,2024-01-31,2024-12-19
234,169,613,2023-12-23,2024-01-11
235,502,806,2024-12-07,2024-12-29
236,533,587,2024-10-07,2025-02-09
237,687,58,2023-09-23,2024-07-02
238,353,867,2023-12-05,2024-07-15
239,791,854,2024-08-04,2024-11-02
240,618,393,2024-07-31,2024-11-11
241,239,502,2024-01-03,2024-10-20
242,849,29,2024-09-12,2024-10-09
243,817,210,2023-05-30,2024-11-19
244,871,266,2025-01-17,2025-02-18
245,772,253,2024-02-19,2025-02-21
246,376,798,2023-02-27,2023-11-03
247,542,10,2023-06-19,2023-09-06
248,621,528,2024-11-04,2025-02-11
249,53,450,2024-07-05,2024-11-13
250,50,715,2024-11-19,2025-02-16
251,690,541,2023-11-11,2024-02-24
252,432,429,2024-03-27,2024-11-05
253,227,260,2023-11-14,2025-01-30
254,174,789,2024-04-04,2024-11-08
255,353,511,2024-12-28,2025-02-18
256,9,524,2024-11-12,2024-12-05
257,293,157,2024-06-17,2025-01-12
258,105,4,2023-10-08,2024-03-22
259,193,873,2024-10-02,2025-01-10
260,702,141,2024-06-25,2025-02-08
261,429,623,2024-07-31,2024-10-18
262,112,545,2024-09-24,2024-12-19
263,290,183,2024-11-13,2025-01-29
264,478,540,2024-04-22,2024-07-07
265,350,955,2023-12-26,2025-02-20
266,181,93,2024-10-31,2025-02-19
267,436,545,2024-07-24,2024-10-15
268,602,166,2024-10-31,2025-01-11
269,962,960,2023-12-21,2024-10-28
270,273,588,2023-02-27,2024-05-09
271,632,675,2023-03-14,2023-06-08
272,303,800,2024-09-14,2024-12-29
273,760,426,2023-09-29,2024-04-13
274,559,768,2023-03-20,2024-06-14
275,180,748,2024-01-19,2024-11-13
276,913,960,2023-04-03,2024-12-07
277,552,957,2024-09-13,2024-11-20
278,733,851,2024-07-22,2024-08-15
279,716,179,2024-04-28,2024-08-20
280,646,925,2024-09-10,2024-12-26
281,574,266,2025-01-02,2025-02-07
282,96,577,2025-01-09,2025-02-23
283,618,521,2023-04-12,2023-10-22
284,141,410,2023-11-21,2025-02-12
285,528,269,2024-05-22,2024-10-19
286,676,577,2023-05-06,2024-12-09
287,153,688,2023-06-09,2023-11-21
288,115,67,2023-07-19,2024-11-14
289,642,621,2024-11-10,2025-02-14
290,103,25,2023-03-23,2023-10-13
291,170,494,2024-09-25,2025-02-01
292,475,390,2024-03-14,2024-09-04
293,788,965,2024-07-24,2025-02-22
294,780,414,2023-09-23,2023-10-30
295,465,356,2024-07-14,2025-01-15
296,958,366,2025-02-13,2025-02-20
297,512,182,2024-07-08,2025-01-22
298,64,723,2023-03-02,2023-07-15
299,119,653,2025-01-14,2025-01-17
300,818,714,2024-08-13,2024-11-10
301,697,685,2024-09-05,2024-11-16
302,802,811,2024-04-10,2025-01-29
303,703,773,2025-02-08,2025-02-14
304,602,541,2025-02-20,2025-02-20
305,450,20,2024-08-07,2025-01-22
306,559,304,2023-02-25,2023-08-16
307,378,994,2023-08-31,2023-09-10
308,300,709,2023-12-06,2024-10-05
309,362,421,2024-01-05,2024-08-10
310,179,806,2024-05-20,2025-02-02
311,867,13,2023-06-18,2023-07-27
312,392,540,2024-02-09,2024-05-16
313,805,151,2024-03-07,2024-09-21
314,811,411,2024-05-28,2024-08-10
315,216,407,2023-11-27,2025-02-05
316,26,620,2023-09-24,2023-12-24
317,993,600,2024-04-10,2024-12-06
318,361,691,2023-05-17,2023-05-29
319,978,536,2025-02-04,2025-02-23
320,353,638,2023-09-29,2023-10-03
321,61,116,2024-03-28,2024-07-10
322,142,717,2024-12-11,2025-02-02
323,329,353,2024-08-12,2024-12-05
324,305,224,2023-09-24,2024-02-10
325,136,224,2023-09-05,2024-10-31
326,411,152,2024-08-25,2024-11-22
327,108,106,2023-12-07,2024-11-10
328,525,156,2023-04-06,2023-09-30
329,559,424,2024-06-30,2024-10-22
330,723,104,2024-09-15,2024-10-23
331,307,735,2023-04-07,2024-02-27
332,327,375,2024-07-17,2024-11-05
333,869,514,2025-01-03,2025-02-08
334,963,600,2023-10-20,2024-08-23
335,447,235,2023-12-27,2024-02-12
336,261,758,2025-02-10,2025-02-21
337,833,874,2023-08-22,2023-09-13
338,489,407,2024-03-11,2024-09-28
339,186,90,2023-04-13,2024-02-26
340,556,707,2024-02-25,2024-12-18
341,427,528,2025-01-10,2025-01-24
342,493,354,2023-05-08,2023-10-17
343,121,417,2025-01-13,2025-02-15
344,708,592,2023-08-02,2024-05-08
345,804,92,2024-06-29,2024-11-02
346,451,490,2023-12-15,2024-02-23
347,601,468,2024-02-27,2024-04-04
348,210,16,2025-01-22,2025-02-22
349,509,308,2024-09-07,2025-02-03
350,679,463,2024-11-09,2025-01-08
351,619,902,2023-12-18,2024-12-07
352,906,24,2024-02-28,2024-09-25
353,109,50,2024-10-06,2024-12-01
354,513,106,2024-03-31,2024-08-16
355,401,780,2023-09-25,2024-01-02
356,623,39,2024-11-27,2024-12-23
357,491,229,2023-07-28,2024-03-11
358,56,80,2023-03-28,2025-01-01
359,983,161,2023-07-01,2025-01-09
360,45,100,2024-04-08,2024-04-15
361,485,296,2023-02-24,2023-04-01
362,636,115,2024-09-09,2024-10-28
363,492,571,2023-04-02,2024-10-08
364,5,259,2023-06-28,2024-04-05
365,354,664,2024-10-19,2024-12-01
366,175,989,2024-02-26,2024-04-07
367,337,113,2023-05-19,2024-04-03
368,76,915,2025-01-28,2025-02-06
369,677,753,2025-01-23,2025-01-25
370,796,909,2023-08-06,2023-12-07
371,538,897,2023-03-11,2025-01-17
372,419,195,2025-02-06,2025-02-11
373,163,415,2024-03-13,2025-01-23
374,336,25,2023-07-13,2024-11-29
375,518,515,2023-05-14,2025-01-12
376,689,534,2024-07-26,2024-11-14
377,109,617,2023-03-27,2024-09-02
378,436,227,2023-03-04,2023-08-12
379,675,295,2023-05-23,2024-05-02
380,261,216,2024-08-04,2024-11-09
381,705,448,2023-12-18,2024-03-29
382,58,527,2025-01-10,2025-02-04
383,191,308,2023-12-17,2024-01-15
384,361,148,2024-09-23,2024-12-06
385,874,383,2023-09-26,2024-06-11
386,222,577,2023-11-25,2024-09-01
387,707,817,2024-02-09,2024-05-26
388,345,283,2023-03-30,2024-11-20
389,619,129,2023-08-30,2024-06-29
390,487,329,2024-07-31,2024-08-18
391,518,643,2025-01-16,2025-01-28
392,827,31,2024-06-16,2024-08-24
393,266,461,2025-01-31,2025-02-08
394,542,232,2023-11-28,2024-06-23
395,953,983,2024-07-18,2024-12-09
396,690,176,2024-12-22,2025-01-11
397,616,394,2024-10-11,2024-10-22
398,583,32,2024-09-08,2025-02-19
399,229,322,2023-05-23,2024-03-17
400,624,175,2024-03-19,2024-05-19
401,684,115,2023-09-17,2023-11-12
402,952,46,2023-04-28,2023-10-13
403,273,487,2024-12-02,2025-02-21
404,966,986,2024-05-22,2024-10-01
405,735,957,2023-09-13,2024-03-12
406,73,367,2023-05-24,2024-08-21
407,710,887,2025-02-15,2025-02-15
408,182,848,2023-03-08,2024-01-20
409,538,402,2023-09-21,2024-08-24
410,390,334,2023-11-09,2024-12-27
411,270,445,2024-06-10,2025-01-03
412,568,646,2023-08-05,2023-10-02
413,878,162,2024-12-01,2025-02-19
414,367,491,2023-06-17,2023-12-26
415,522,523,2024-12-02,2025-01-11
416,721,811,2024-12-05,2024-12-16
417,485,821,2024-05-19,2024-06-10
418,256,172,2024-12-12,2024-12-26
419,184,223,2024-04-24,2025-01-10
420,594,685,2025-01-13,2025-02-10
421,724,269,2023-05-04,2024-11-09
422,37,233,2023-06-06,2024-08-09
423,741,179,2023-10-11,2024-01-07
424,990,21,2023-08-26,2025-01-24
425,274,790,2023-10-09,2024-08-18
426,682,656,2025-01-10,2025-02-20
427,56,174,2024-11-10,2024-11-21
428,236,993,2024-12-05,2025-01-15
429,495,95,2024-03-21,2024-09-21
430,794,228,2025-01-18,2025-02-07
431,325,231,2023-07-10,2024-12-17
432,184,615,2024-02-29,2024-07-13
433,606,140,2023-04-12,2023-05-10
434,357,813,2024-01-07,2024-11-17
435,423,483,2024-09-23,2025-01-25
436,154,428,2024-05-11,2024-10-19
437,938,917,2025-02-22,2025-02-22
438,942,754,2024-12-30,2025-01-01
439,92,816,2023-06-14,2024-02-28
440,713,58,2023-07-19,2024-04-28
441,316,116,2023-09-28,2024-08-02
442,139,194,2024-09-11,2024-09-16
443,464,799,2025-02-18,2025-02-23
444,584,180,2023-06-04,2023-10-15
445,912,893,2023-12-19,2024-10-12
446,612,471,2024-11-11,2025-02-08
447,438,331,2023-02-26,2024-06-06
448,370,578,2023-03-27,2024-05-22
449,279,448,2024-12-20,2025-01-11
450,128,783,2024-07-16,2024-12-31
451,714,859,2024-09-20,2024-11-01
452,445,725,2024-05-11,2024-07-03
453,406,788,2024-04-06,2025-01-07
454,594,848,2024-04-24,2024-10-17
455,591,844,2023-10-14,2024-04-17
456,484,555,2024-05-08,2024-11-07
457,905,393,2023-08-14,2024-02-22
458,393,974,2024-01-04,2024-09-17
459,915,238,2024-08-05,2025-01-18
460,317,330,2024-09-25,2025-02-20
461,792,969,2023-03-25,2024-12-03
462,485,728,2023-11-22,2024-03-03
463,752,347,2024-01-05,2025-01-04
464,684,68,2023-03-18,2024-11-02
465,586,564,2023-04-11,2024-04-17
466,197,702,2024-08-01,2025-01-15
467,993,77,2023-08-02,2024-10-30
468,298,76,2024-02-11,2024-02-15
469,16,246,2024-06-08,2024-06-10
470,98,37,2024-08-21,2025-01-10
471,619,992,2025-01-09,2025-01-12
472,45,317,2023-11-16,2024-07-04
473,887,218,2024-04-06,2024-09-13
474,144,924,2023-05-31,2025-01-30
475,309,806,2024-12-02,2025-01-13
476,934,853,2023-10-01,2023-10-10
477,387,187,2024-11-26,2025-02-21
478,550,853,2024-03-07,2025-02-22
479,79,587,2024-03-17,2025-01-04
480,210,506,2024-06-25,2024-11-30
481,873,954,2023-09-06,2024-10-13
482,432,101,2023-03-04,2023-05-17
483,517,635,2024-11-21,2025-02-01
484,951,614,2023-11-02,2023-11-04
485,197,839,2023-03-14,2024-06-11
486,83,214,2023-04-26,2024-12-03
487,618,546,2023-07-15,2025-02-22
488,854,259,2023-03-31,2023-10-22
489,19,251,2023-03-08,2024-11-10
490,782,919,2023-07-23,2024-06-22
491,65,417,2024-08-25,2025-02-19
492,176,633,2023-07-04,2025-02-21
493,45,278,2023-09-24,2025-02-23
494,171,343,2023-11-24,2024-08-21
495,561,157,2024-04-19,2024-09-14
496,425,916,2024-05-27,2024-09-13
497,801,182,2024-11-08,2024-12-24
498,994,912,2024-05-26,2024-12-12
499,630,740,2023-12-17,2024-05-20
500,564,775,2023-12-17,2024-08-05
501,486,375,2023-04-19,2024-05-27
502,68,104,2023-08-22,2024-10-30
503,799,244,2024-11-28,2025-01-18
504,210,677,2023-07-24,2025-01-13
505,786,528,2023-09-16,2025-02-16
506,696,337,2024-01-18,2025-02-03
507,780,91,2024-12-11,2025-01-28
508,649,11,2023-11-02,2024-11-19
509,654,469,2023-11-29,2024-07-25
510,796,725,2024-09-19,2024-10-16
511,49,176,2024-08-05,2024-09-07
512,161,475,2025-02-20,2025-02-20
513,244,682,2024-05-20,2024-09-03
514,73,296,2023-09-18,2024-06-09
515,44,208,2023-09-11,2023-11-25
516,867,623,2023-05-10,2024-03-04
517,535,511,2025-01-19,2025-01-27
518,429,211,2024-09-23,2025-01-13
519,204,100,2023-04-10,2024-01-19
520,403,253,2024-06-19,2024-08-03
521,691,256,2024-03-23,2024-11-16
522,162,888,2024-07-16,2024-10-13
523,82,74,2024-08-08,2024-10-29
524,970,71,2023-08-06,2025-01-27
525,49,186,2023-07-31,2024-02-24
526,25,415,2023-09-12,2024-05-19
527,646,984,2024-10-07,2025-01-25
528,965,201,2024-03-29,2024-04-07
529,71,806,2024-01-01,2024-08-01
530,430,277,2024-04-09,2024-11-22
531,752,791,2024-08-09,2025-01-14
532,34,480,2025-01-11,2025-02-10
533,218,273,2024-03-21,2024-08-17
534,715,622,2023-11-02,2023-12-08
535,920,983,2023-12-13,2023-12-31
536,296,790,2023-06-30,2024-12-07
537,317,20,2024-03-17,2025-02-09
538,553,592,2023-11-27,2024-07-08
539,25,834,2023-05-09,2023-07-05
540,524,45,2024-07-04,2024-07-10
541,978,226,2023-05-01,2024-11-01
542,466,407,2024-11-02,2024-12-08
543,592,960,2024-01-19,2024-09-17
544,291,139,2024-06-24,2024-09-26
545,213,975,2025-01-30,2025-01-30
546,164,773,2024-11-18,2024-12-10
547,199,917,2024-05-04,2024-05-27
548,382,221,2023-04-13,2024-04-11
549,324,539,2024-09-23,2024-12-24
550,359,327,2024-06-18,2024-07-22
551,267,827,2025-01-30,2025-02-23
552,508,458,2024-02-20,2024-07-17
553,96,222,2024-04-09,2024-05-21
554,954,388,2023-12-21,2024-10-07
555,733,130,2023-06-30,2023-11-20
556,936,400,2023-04-16,2024-10-26
557,727,104,2024-06-10,2024-11-13
558,578,115,2024-11-07,2024-11-12
559,658,859,2023-03-25,2024-08-15
560,755,966,2024-09-02,2025-02-03
561,908,208,2024-11-19,2024-12-13
562,672,626,2025-01-28,2025-02-07
563,283,767,2024-06-15,2024-09-27
564,934,212,2023-09-20,2024-03-14
565,13,890,2023-07-28,2024-02-01
566,602,197,2023-12-17,2024-03-06
567,224,84,2023-08-03,2023-10-04
568,209,767,2024-02-13,2024-03-26
569,651,351,2025-01-23,2025-01-23
570,876,22,2024-04-15,2024-10-09
571,615,839,2024-12-03,2025-01-06
572,711,726,2024-04-04,2024-12-15
573,474,109,2023-09-15,2024-11-08
574,624,187,2023-04-14,2023-10-09
575,984,491,2024-06-14,2025-02-22
576,605,59,2023-12-09,2024-11-20
577,938,50,2023-07-19,2023-11-12
578,49,260,2023-08-31,2024-12-02
579,81,397,2025-01-20,2025-02-20
580,53,981,2023-10-25,2024-06-27
581,434,336,2024-10-01,2025-02-18
582,914,980,2023-06-05,2024-07-03
583,731,393,2024-11-26,2025-02-14
584,905,348,2024-11-07,2024-12-21
585,179,844,2024-01-02,2024-03-21
586,79,194,2024-06-14,2024-12-31
587,199,952,2023-08-02,2024-12-27
588,825,680,2023-12-25,2024-09-30
589,796,809,2024-08-16,2024-09-21
590,266,252,2023-08-23,2023-11-22
591,884,14,2024-12-04,2024-12-23
592,351,942,2023-03-19,2024-02-06
593,60,100,2024-11-22,2025-01-19
594,822,434,2023-03-13,2024-01-27
595,180,184,2025-01-17,2025-01-28
596,491,968,2025-01-02,2025-01-22
597,363,208,2024-08-18,2025-02-11
598,696,911,2023-10-19,2023-11-28
599,953,455,2024-08-10,2025-02-19
600,696,845,2023-10-19,2024-01-10
601,413,288,2023-04-10,2024-11-15
602,431,792,2024-08-26,2024-11-20
603,553,468,2023-08-27,2023-09-29
604,368,797,2024-02-02,2025-01-22
605,298,177,2024-11-06,2025-01-31
606,161,601,2023-08-06,2024-09-10
607,223,825,2024-01-29,2024-02-20
608,227,667,2025-01-21,2025-01-30
609,511,952,2024-01-01,2024-12-10
610,201,499,2023-03-13,2024-01-31
611,482,83,2024-04-16,2025-01-16
612,948,667,2024-07-13,2024-08-14
613,243,230,2023-09-16,2024-04-03
614,588,967,2023-04-19,2023-11-21
615,362,764,2023-10-23,2024-04-03
616,498,764,2024-12-17,2025-01-28
617,571,460,2023-11-06,2024-03-17
618,389,981,2024-09-07,2024-10-27
619,213,878,2023-05-23,2023-10-12
620,379,753,2023-04-09,2023-09-06
621,241,514,2024-02-17,2024-12-04
622,967,460,2023-09-01,2024-10-29
623,518,707,2024-07-04,2024-08-06
624,882,238,2025-01-11,2025-01-30
625,602,59,2023-12-23,2024-06-20
626,870,837,2023-04-23,2024-07-26
627,862,217,2024-05-14,2024-07-08
628,629,412,2024-07-31,2025-01-17
629,879,688,2024-04-21,2024-08-19
630,598,923,2024-06-18,2024-10-08
631,500,402,2024-12-21,2025-02-04
632,419,870,2024-09-08,2025-01-24
633,447,869,2024-06-09,2024-09-26
634,744,909,2024-07-26,2024-08-29
635,532,564,2023-09-21,2025-01-24
636,950,101,2024-06-19,2024-06-24
637,758,611,2024-06-27,2024-08-07
638,538,262,2023-08-23,2025-01-13
639,138,47,2024-05-26,2024-11-27
640,521,445,2024-10-04,2025-02-15
641,733,638,2023-09-13,2024-09-14
642,348,928,2024-10-16,2025-01-03
643,671,638,2024-04-08,2025-02-11
644,43,371,2025-02-04,2025-02-11
645,729,53,2023-09-02,2025-02-03
646,155,203,2023-11-01,2024-06-08
647,593,797,2023-09-13,2024-05-25
648,20,454,2023-07-07,2024-02-28
649,71,245,2023-12-08,2023-12-20
650,791,894,2024-12-24,2024-12-27
651,456,669,2023-07-01,2024-12-17
652,917,569,2024-03-14,2024-11-30
653,118,333,2023-10-12,2024-10-19
654,185,9,2024-03-02,2024-09-23
655,133,750,2023-12-24,2024-09-19
656,785,256,2023-12-22,2024-06-03
657,136,318,2024-06-04,2024-11-07
658,227,544,2023-10-15,2024-05-11
659,366,225,2023-07-31,2024-06-24
660,172,464,2024-01-16,2024-02-05
661,366,341,2024-08-01,2025-01-09
662,797,743,2023-05-01,2024-07-31
663,91,548,2023-04-24,2024-10-13
664,501,592,2024-03-06,2024-04-29
665,305,934,2024-07-10,2024-08-17
666,732,721,2023-11-01,2025-02-09
667,230,132,2023-09-20,2023-10-21
668,8,672,2024-09-19,2025-01-20
669,492,590,2023-08-27,2025-01-01
670,341,222,2024-08-07,2024-10-15
671,704,936,2024-04-17,2024-09-13
672,568,984,2023-12-31,2024-11-22
673,857,583,2023-09-22,2024-05-23
674,750,675,2023-11-25,2024-05-05
675,247,945,2024-09-11,2024-11-15
676,34,802,2023-12-20,2025-02-15
677,393,175,2024-06-18,2024-07-10
678,989,179,2024-11-14,2024-12-11
679,278,806,2024-01-23,2024-05-21
680,273,492,2023-10-11,2024-01-30
681,838,604,2024-12-20,2025-01-26
682,107,876,2024-03-28,2024-12-24
683,572,843,2023-11-08,2024-06-15
684,372,514,2025-01-09,2025-02-20
685,756,913,2024-04-01,2024-06-22
686,73,232,2023-07-08,2024-01-08
687,912,382,2024-10-24,2024-11-05
688,792,60,2023-12-03,2024-04-09
689,155,412,2023-12-26,2024-02-01
690,22,700,2023-03-25,2023-10-15
691,834,923,2023-05-06,2024-06-04
692,519,7,2024-11-22,2025-01-14
693,801,578,2023-07-29,2024-04-09
694,192,728,2025-02-17,2025-02-20
695,218,713,2023-04-07,2023-12-05
696,796,576,2024-02-28,2025-01-17
697,242,581,2024-11-13,2024-12-10
